Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:RRS,"Range Resources (ASX:RRS)",https://www.listcorp.com/asx/rrs/range-resources,"	0",0,0.00,0,Energy
ASX:RAW,"Rawson Oil and Gas Limited (ASX:RAW)",https://www.listcorp.com/asx/raw/rawson-oil-and-gas-limited,"	0",0,0.00,0,Energy
ASX:GBT,"GBST Holdings (ASX:GBT)",https://www.listcorp.com/asx/gbt/gbst-holdings,"	0",0,0.00,0,"Information Technology"
ASX:3GC,"3G Coal Limited (ASX:3GC)",https://www.listcorp.com/asx/3gc/3g-coal-limited,"	0",0,0.00,0,Materials
ASX:CR3,"Centaur Resources Limited (ASX:CR3)",https://www.listcorp.com/asx/cr3/centaur-resources-limited,"	0",0,0.00,0,Materials
ASX:RLE,"Real Energy Corporation (ASX:RLE)",https://www.listcorp.com/asx/rle/real-energy-corporation,"	0",0,0.00,0,Energy
ASX:BRV,"Big River Gold Limited (ASX:BRV)",https://www.listcorp.com/asx/brv/big-river-gold-limited,"	0",0,0.00,0,Materials
ASX:NVT,"Navitas (ASX:NVT)",https://www.listcorp.com/asx/nvt/navitas,"	0",0,0.00,0,"Consumer Discretionary"
ASX:GCN,"GoConnect Limited (ASX:GCN)",https://www.listcorp.com/asx/gcn/goconnect,"	0",0,0.00,0,"Communication Services"
ASX:SBX,"Spreedbox Holdings Limited (ASX:SBX)",https://www.listcorp.com/asx/sbx/spreedbox-holdings-limited,"	0",0,0.00,0,"Information Technology"
ASX:CDU,"CuDECO Limited (ASX:CDU)",https://www.listcorp.com/asx/cdu/cudeco,"	0",0,0.00,0,Materials
ASX:SFI,"Spookfish Limited (ASX:SFI)",https://www.listcorp.com/asx/sfi/spookfish-limited,"	0",0,0.00,0,"Information Technology"
ASX:RDH,"RedHill Education (ASX:RDH)",https://www.listcorp.com/asx/rdh/redhill-education,"	0",0,0.00,0,"Consumer Discretionary"
ASX:TV2,"TV2U International Limited (ASX:TV2)",https://www.listcorp.com/asx/tv2/tv2u-international-limited,"	0",0,0.00,0,"Information Technology"
ASX:CKM,"Chalkos Metals Limited (ASX:CKM)",https://www.listcorp.com/asx/ckm/chalkos-metals-limited,"	0",0,0.00,0,Materials
ASX:WFE,"Winmar Resources (ASX:WFE)",https://www.listcorp.com/asx/wfe/winmar-resources,"	0",0,0.00,0,Materials
ASX:ISD,"Isentia Group (ASX:ISD)",https://www.listcorp.com/asx/isd/isentia-group,"	0",0,0.00,0,"Information Technology"
ASX:WDE,"Wealth Defender Equities Limited (ASX:WDE)",https://www.listcorp.com/asx/wde/wealth-defender-equities-limited,"	0",0,0.00,0,Financials
ASX:WLF,"Wolf Minerals (ASX:WLF)",https://www.listcorp.com/asx/wlf/wolf-minerals,"	0",0,0.00,0,Materials
ASX:MZI,"MZI Resources (ASX:MZI)",https://www.listcorp.com/asx/mzi/mzi-resources,"	0",0,0.00,0,Materials
ASX:WLC,"Wollongong Coal (ASX:WLC)",https://www.listcorp.com/asx/wlc/wollongong-coal,"	0",0,0.00,0,Materials
ASX:MNW,"Mint Payments Limited (ASX:MNW)",https://www.listcorp.com/asx/mnw/mint-payments,"	0",0,0.00,0,"Information Technology"
ASX:UIL,"UIL Energy Limited (ASX:UIL)",https://www.listcorp.com/asx/uil/uil-energy-limited,"	0",0,0.00,0,Energy
ASX:WPG,"WPG Resources (ASX:WPG)",https://www.listcorp.com/asx/wpg/wpg-resources,"	0",0,0.00,0,Materials
ASX:SGU,"Success Global Media Limited (ASX:SGU)",https://www.listcorp.com/asx/sgu/success-global-media-limited,"	0",0,0.00,0,"Consumer Discretionary"
ASX:MOC,"Mortgage Choice (ASX:MOC)",https://www.listcorp.com/asx/moc/mortgage-choice,"	0",0,0.00,0,Financials
ASX:GFI,"Global Fortune Investment Limited (ASX:GFI)",https://www.listcorp.com/asx/gfi/global-fortune-investment-limited,"	0",0,0.00,0,Materials
ASX:FDX,"Frontier Diamonds Ltd (ASX:FDX)",https://www.listcorp.com/asx/fdx/frontier-diamonds-ltd,"	0",0,0.00,0,Materials
ASX:SSN,"Samson Oil & Gas (ASX:SSN)",https://www.listcorp.com/asx/ssn/samson-oil,"	0",0,0.00,0,Energy
ASX:NLH,"Nicheliving Holdings Ltd (ASX:NLH)",https://www.listcorp.com/asx/nlh/nicheliving-holdings-ltd,"	0",0,0.00,0,"Real Estate"
ASX:EXX,"Expose Resources Limited (ASX:EXX)",https://www.listcorp.com/asx/exx/expose-resources-limited,"	0",0,0.00,0,Unclassified
ASX:ZAM,"Zamanco Minerals (ASX:ZAM)",https://www.listcorp.com/asx/zam/zamanco-minerals,"	0",0,0.00,0,Materials
ASX:CTC,"China Track Limited (ASX:CTC)",https://www.listcorp.com/asx/ctc/china-track-limited,"	0",0,0.00,0,Industrials
ASX:CCL,"Coca-Cola Amatil (ASX:CCL)",https://www.listcorp.com/asx/ccl/coca-cola-amatil,"	0",0,0.00,0,"Consumer Staples"
ASX:SXY,"Senex Energy Limited (ASX:SXY)",https://www.listcorp.com/asx/sxy/senex-energy-limited,"	0",0,0.00,0,Energy
ASX:NXR,"Nemex Resources (ASX:NXR)",https://www.listcorp.com/asx/nxr/nemex-resources,"	0",0,0.00,0,Materials
